Author,Title,Review,Rating,Dates,Restaurant
"Naviguesser50Mesolongion, Greece",Dreadful Evening don’t bother...,"Having been shown to a table we were hustled into ordering almost immediately. One dish for one of our party turned up after a reasonable wait but the other shared dish just didn’t. We reminded our waitress several times but it still hadn’t turned up by the time the first person had finished their meal. Worse a table that arrived after us was served their food before us.The Rendang we did get was not the best, chewy thin cuts of beef that had recently been shown the sauce. The wine was ok but also not the best. We paid for the bottle and the Rendang then left to hunt for food elsewhere for other two members of our party.Show less",1.0,Reviewed 25 June 2019 ,Bonzer Restaurant
Lydia P,Fine dining experience yet affordable !,"Bonzer is a little gem located centrally in town. I love the (Australian) beef rendang. served as set lunch, only RM9.90! The lunch menu changes daily and is available even throughout the weekend. The attractive platter set is a real treat and is a complete meal by itself. Very creative fusion dishes you can't find anywhere else! Heard of pasta lemak? Only at Bonzer! Show less",5.0,Reviewed 20 June 2019 ,Bonzer Restaurant
"Wolv3rin3Subang Jaya, Malaysia",Awesome Spicy Hot Ayam Percik,"Really good service, the decor is not too flamboyant, just low lighting in a relaxed and chill ambience.Their dinner set at MYR 15.00 nett is a bargain, choose from selection of one main and either a soup of the day or dessert. I opted for the Ayam Percik served with rice and dessert. Love the Ayam Percik, well seasoned and barbecued topped with a spicy hot sauce. Show less",5.0,Reviewed 19 June 2019 ,Bonzer Restaurant
janelaw775,Food awesome,"Went last night. Food is great with fine dining experience. A Must try chef platter, mushroom soup, pasta lemak n my personal favorite beef rendang. Price very reasonable as set lunch only @RM9.90. Big . ️⭐. highly recommended.Show less",5.0,Reviewed 18 June 2019 ,Bonzer Restaurant
Yenchoo,Food,Love Pasta taste good.  Overall the good is great.  Restaurant is clean cozy.  Service is excellent.  Staff friendly,5.0,Reviewed 17 June 2019 ,Bonzer Restaurant
"F_SuhainiBandar Seri Begawan, Brunei Darussalam",Value in Everything.. satisfying and delicious!!,Bonzer Restaurant@Kingwood Boutique Hotel. Miri.Trying Bonzer restaurant Sirlion Steak for dinner. personally i ask for the chef how i want my steak to be cook that is medium rare. at first i was bit sceptical whether the chef can do it. To my suprise! its exactly the way that i want my steak to cooked. Kudos to the chef and all Kingwood Boutique Hotel Management.. it was delicous and satisfying. A must try to all..Show less,5.0,Reviewed 11 June 2019 ,Bonzer Restaurant
"fknfag1207Sabah, Malaysia",FANTASTIC SMALL HOTEL,Good restaurant. The food was top level dining in Miri and the restaurant itself is very comfortable. Keep it up guysShow less,5.0,Reviewed 9 June 2019 ,Bonzer Restaurant
Kuance,A hidden gem,"Being a local myself, it's been a challenge to find a proper restaurant for a comfortable dinner. But bonzer restaurant is a hidden gem hiding in the corner below Kingwood hotel. The food, the ambient, the service, and everything is just super fine. At first Im being doubtful with the lemak pasta (kinda weird fusion) but wait until you taste it... It's crazily good. I'll give it a 4.9 star out of 5. For that 0.1 minus out because of the dodgy walkway outside of the restaurant but maybe that's just me.Show less",5.0,Reviewed 26 May 2019 ,Bonzer Restaurant
meilingh24,Nice and valuable restaurant,"Gathering dinner for 11 couples. Nice Food & Good environment is so comfortablethe Staff so friendly especially the manager "" May"" for good management and sunny smile. will went back again^^ good memory in here!!! strongly recommend itHAPPY 520Show less",5.0,Reviewed 20 May 2019 ,Bonzer Restaurant
"Lenny700Singapore, Singapore",Good small restaurant,Good restaurant. Cosy ambience and very good staff servicing food at very affordable prices. Open to the public.Show less,4.0,Reviewed 1 May 2019 ,Bonzer Restaurant
"stkermitMiri, Malaysia",One of favourite dining spots in Miri!,Cozy ambience. Affordable. Excellent food. Friendly staff.Enjoyed the Chef Platter this time around. Very nice indeed.Been here nearly 10 times and never disappointed.Show less,5.0,Reviewed 16 February 2019 ,Bonzer Restaurant
Wei K,Awesome service and good food,"We had our valentine dinner here and the restaurant effuses romantic atmosphere. The staffs are friendly and attentive here. The food was good with reasonably price. Overall, we enjoyed our dinner here with delighted experience. I would like to recommend for anyone who looking for western cuisine for dinner as well as lunch.Show less",4.0,Reviewed 15 February 2019 ,Bonzer Restaurant
Tik7043,"Nice foods , nice service","Having our valentine’s dinner here . Good environment delicious food and nice service from waitress . Polite and always smile face make us like here very much . The food are nice too , we enjoy having our dinner here .Show less",5.0,Reviewed 15 February 2019 ,Bonzer Restaurant
deirdrechin,"SUPERB, SUPERB, SUPERB","When I stepped into Bonzer Restaurant, I was quite skeptical because I thought a restaurant like this wouldn't have great food, but I was wrong. Everything I had were delicious, reasonably priced and came in huge portions, e.g.: the Chef Platter and fish and chips! The Lemak Pasta is an unique and delicious dish. An excellent place with really friendly staff, a perfect place for large and small groups! Props to you, Bonzer Restaurant!Show less",5.0,Reviewed 9 February 2019 ,Bonzer Restaurant
"Sara WMiri, Malaysia",Great place for a good meal,"Bronzer is a very modern and lovely restaurant run by Kingwood Boutique Hotel. The food is presented nicely and tasty, some innovative menu. I had been to the restaurant several times and it never disappoint. The waiters are very attentive but never intrusive. It is a great place to have meals with friends and family: quiet, good food, great service.Show less",5.0,Reviewed 5 February 2019 ,Bonzer Restaurant
Sunnyyyyy88,"Nice place, nice food, nice environment 👍🏻","I have been seeing posts about their chef platter so I decided to try it out. I went with expectations and left with satisfaction! The portion is generous with meat and greens. Lamb and chicken on the skewers, wraps, salads and onion rings on the plates. The platter came with bbq sauce which blended well with the food served. Definitely worth the price, deserve both thumbs up.Show less",5.0,Reviewed 30 January 2019 ,Bonzer Restaurant
"princestevenqMiri, Malaysia",Food and environment ,Such a very nice place and very nice environment. Food are very good and delicious and very friendly staff in the restaurant. Will come back to dine again. Show less,5.0,Reviewed 27 January 2019 ,Bonzer Restaurant
"xWei915Kuala Belait, Brunei Darussalam",Great atmosphere - Food can be improved,"I love how comfortable and well thought out the design of the restaurant is, not to mention the staffs impeccable service. It's not easy to find in Miri City such level of service. The floor manager (I supposed) would check up on our food to make sure it can be sent on time. Appreciate that effort.I had dinner here the first night I was there.Ordered the Chicken Caesar Wrap, which I wish the Caesar sauce would be provided a bit more because the wrap is a bit dry to eat. However the combination of food in this works and it's really quite a healthy choice to order for a light dinner.I came here before and ordered this as well. It's just that good!The next morning I had the Egg Benedict, while my partner ordered the Chef's Breakfast with scrambled egg.The breakfast dishes looked really good (mouth-watering!), and the taste is just marvellous. I really loved how they had the scrambled egg done - it was just perfect. As for the bread in the dishes were just so soft (not soggy)- so good! I wonder how they made it this way!They say breakfast is the most important meal of the day, and Bonzer did just that for me.Show less",4.0,Reviewed 24 January 2019 ,Bonzer Restaurant
940wangr,Nice breakfast,"Breakfast is good but can be improved, which won't be a problem because the staff is very humble and willing to listen to feedback and they really did improve the quality of our meal.Show less",4.0,Reviewed 7 January 2019 ,Bonzer Restaurant
Shariza1306,Deliciouss foodd everr....soo soo cheap!!,Their food was fantasticc....love it so much...you guys have to try it...its so cheap n yummy..im geeting fatt after this..hehehe...will come again and againnn...Show less,5.0,Reviewed 1 January 2019 ,Bonzer Restaurant
Nrshlhsnn,Excellent service,Atmosphere was great. Food was great. Friendly staff. Best calamansi.  Overall very happy with the experience.,5.0,Reviewed 12 November 2018 ,Bonzer Restaurant
sweetcraftymom,Great meals,"GREAT MEALS
My husband and I celebrated our anniversary here. The menu was amazing and the meal was amazing with reasonable price. Friendly service staff. Loved the atmosphere",4.0,Reviewed 8 November 2018 ,Bonzer Restaurant
Departure13170991357,Good food at extrmely reasonable prices,"Carbonara was tasty, and the coffee is impeccable.I'd definitely eat here again, and want to try to kebab combos - they look awesome!Show less",5.0,Reviewed 5 November 2018 ,Bonzer Restaurant
DustNox,Very disappointed,"Pretty disappointed with this place as we saw the review was pretty high. Food:Food was average, found scales in my salmon and our group was served at different time. More than an hour gap from chicken to salmon to vegetarian main dish.Service: The worst part was the servers’ attitude, super bad service. Server stopped serving drinks before 10pm, we had to self service, WHAT A JOKE for a fine dining restaurant! The air conditioner was turn off befire 10.30pm, as if chasing the customer out of the restaurant. How rude is this? Overall, I would never come back for any event celebration nor I will introduce this place to my campus friends. Cane with food expectation, leave with horrible dining experience.Show less",2.0,Reviewed 3 November 2018 ,Bonzer Restaurant
"Frank DKota Kinabalu, Malaysia",Great food,"Lovely restaurant and great food. We had the fish platter and it was clearly very freshly prepared. Service was good and the restaurant itself very clean (if a little too ""corporate"" in terms of fixtures and fittings).Strongly recommended, and we would certainly return (and have the meat platter!).Show less",4.0,Reviewed 27 October 2018 ,Bonzer Restaurant
"wuiyankayMiri, Malaysia",Amazing platter!,Saw their FB posts and decided to try their Chef Platter. Preorder is essential because the food preparation takes a bit of time. Good for a group of 2 to 3! Would love to try their Bonzer Platter and Seafood Platter next time. Plus point: their staff is really accommodating and always ready to help.Show less,4.0,Reviewed 26 October 2018 ,Bonzer Restaurant
"Angelica319Kota Kinabalu, Malaysia",Hidden gem,"Very beautiful restaurant with a classic touch of set up. A show kitchen is plus point, very clean and well maintained. We order pasta lemak, which was unusually good and surprise for a fusion dish, coconut cream instead of cream.. Which worry me at the first place, fresh cream with sambal??? Shredded cucumber, chopped anchovies, crushed peanuts and sambal, with creamy finishing, a real treat and surprised. We also order the Chef platter, very well presented with skewer of chicken and lamb, marinated and grilled to perfection. Good place for gathering and celebration, reasonable pricing for such beautiful set up restaurant, food are tasty with good service, a real hidden gem in town. Show less",5.0,Reviewed 25 October 2018 ,Bonzer Restaurant
"Shinny95Miri, Malaysia",Great restaurant for atmosphere and celebration,First time I come here is for celebrate mother's day... Atmosphere here is romantic and quiet. I like that. Price here is reasonable. Friendly Staff... Nice place for date.Show less,4.0,Reviewed 22 October 2018 ,Bonzer Restaurant
Resort827700,The best,"The best hotel restaurant in Miri so far. Went there for my mum’s birthday dinner. The staff was so so friendly (if u both read this, u know who u r), thnx for the kind service u gave us, n sing a birthday song for my mum some more. This place is recommended, the food was good, price was abit high, but worth the price. The cleanliness of the restaurant, the table setup and the toilet is clean. Recommended for couples n families. Thumbs up, i give 5/5.Show less",5.0,Reviewed 21 October 2018 ,Bonzer Restaurant
"charleykim42Bintulu, Malaysia",Excellent,Tried their Ceasar's salad and Pumpkin Bisque. Taste so good and definitely coming back for them again.Show less,5.0,Reviewed 20 October 2018 ,Bonzer Restaurant
Angeliczhang,Best value restaurant in Miri,"For a hotel standard, this restaurant definitely cater the best value meal starting from RM9.90 special lunch to combo dinner value at RM15. Pasta lemak is definitely a must try dish. Cosy ambience with show kitchen, friendly staffs with good service. 100% recommend to dine here. Show less",5.0,Reviewed 27 August 2018 ,Bonzer Restaurant
"Ragu88Kuala Lumpur, Malaysia",Lovely Dinner,"Not much crowd and very pleasant / Friendly restaurant to chill with delicious foods.Tried their Lemak Spaghetti, really delicious and goes really well with glass of lime juice and coffee.Quite cheap for a hotel restaurant.Show less",5.0,Reviewed 26 August 2018 ,Bonzer Restaurant
"pianocelloShah Alam, Malaysia",Atmosphere ,The decor is nice and the staff are helpful. Prices are reasonable but I thought portions could be a bit bigger. Service is a little slow but I can live with it if they're preparing food properly and not reheating precooked food Show less,4.0,Reviewed 22 August 2018 ,Bonzer Restaurant
"JenusDMiri, Malaysia",Great Deal in town!,"This is our favourite restaurant in town. Excellent food selection and the staffs are friendly, they ensure we are always comfortable. Price? Is so reasonable in such an exclusive restaurant in Miri town. Highly recommended to all.Show less",5.0,Reviewed 21 August 2018 ,Bonzer Restaurant
davidwH5800XK,Good Food,Nice open area for dining located in the Kingwood Hotel. Staff are very friendly. Food was served quickly. It was hot and served fresh. Nice selection of dishes from local to Western. Definite recommend for a group or family outing.,5.0,Reviewed 21 August 2018 ,Bonzer Restaurant
"WongT271Bintulu, Malaysia",Cosy and not expensive,"Lovely interior, good location, quick and good service ..heard so much about the Chef platter and pasta lemak, 4 of us sharing the Chef platter, potatoes salad and signature dish Pasta lemak, We are told Chef platter is good for 3 persons, to our experience, is just nice for 4 of us, nicely present and tasty Chicken and lamb skewer, to my surprised, the lemak pasta really taste unique and good, totally a fusion dish you must try if you are in this restaurant. Prices are reasonable....really value for money. Strongly recommended.Show less",5.0,Reviewed 10 August 2018 ,Bonzer Restaurant
MizzNELLY,Great Lunch,"We had lunch here, Bonzer Restaurant. The food was tasty and well presented. Friendly staff and service was great. Highly recommended!",5.0,Reviewed 3 August 2018 ,Bonzer Restaurant
MichelleT4814,"Excellent food , beautiful environment","Been here a few times. Love the service , especially Mr Thomas!  The food are delicious , must try the salmon and sun dried tomato. 
The dinner set meal is very value for money !",5.0,Reviewed 15 July 2018 ,Bonzer Restaurant
AliphT,Amazing Food and Good Service,The food choices are good and the food are delicious. The staff were friendly and polite. Would visit again soonShow less,5.0,Reviewed 8 July 2018 ,Bonzer Restaurant
BonnieBenjaSimBandar Seri Begawan,Lovely Restaurant,"Had a lunch treat in the restaurant and was pleasantly surprised at how delicious the food was.Judee and Cindy recommended the Nasi Lemak Spaghetti and I do have to say that you will have to try it yourself! Its yummy! Who would have thought how well the combination could be...the santan (coconut milk) is still there and the crunch of the anchovies just made it more sublime. Tried their mushroom soup for starter and it surely did not disappoint. The place looks great and upon my query, you could book the whole place for a private function. Would definitely be coming back here again and would like to thank Cindy and her team for a lovely time there. Show less",4.0,Reviewed 30 June 2018 ,Bonzer Restaurant
"ahnyona28Miri, Malaysia",Just satisfactory level,"I ordered fish and chips for dinner. The dish was OK. Just that I wish the fish batter would be thinner. It was a bit hard that I had to really push the knife into the fish.On the other side, I am impressed with the supervisor's PR skills. And the staff are friendly. Show less",3.0,Reviewed 20 March 2018 ,Bonzer Restaurant
"429cecilsKuching, Malaysia",Quaint and Contemporary.,"An all-day dining restaurant in the heart of the city. Located at ground floor next to the lobby of Kingwood Boutique Hotel, the cozy ambience, be it for family or business dining experience, Bonzer Restaurant offers the perfect selection of Asian Fusion Cuisine with a touch of western delicacies to savour from. Affordable set meals from RM9.90 to combo dinner set at RM15.00, you’ll be spoilt for choices from Roasted Chicken Rice, Nasi Lemak, Lamb Cutlets, Chicken Chop to name a few. Show less",5.0,Reviewed 13 March 2018 ,Bonzer Restaurant
NervM747Brunei Darussalam,"Good Taste, Value for Money","Ordered:1. Lamb Cutlet - meat was a little tough & small portion (maybe because it’s from the set menu) but gravy was very tasty2. Wild Mushroom Soup - very tasty & good for the price3. Mango Pudding - nicely done, not too sweetStaff was friendly & attentive. Very nice atmosphere & tasteful decor.Show less",4.0,Reviewed 10 March 2018 ,Bonzer Restaurant
"ceciliaswan88Sarawak, Malaysia",Highly recommended ,"Located at the ground floor Kingwood Hotel. Friendly staff and cater to your needs. Although they have caesar chicken salad wrap on their menu for rm18, the Chef helped me change into a salad plate and charged rm15 which is reasonable. Loved my strawberry tea which cost rm7. My boyfriend had pasta carbonara and dessert was chocolate brownies. Highly recommended during dinner set(rm15 for main dish + soup of the day/dessert) or lunch set(rm9.90) promotion. Show less",5.0,Reviewed 9 March 2018 ,Bonzer Restaurant
mdp14,Best choice in Miri,"We came here after drinks at Ming and we were very happy with our choice. My husband said his nasi lemak was fantastic and my pasta was great too, even if a tad spicy for my taste.",5.0,Reviewed 8 March 2018 ,Bonzer Restaurant
"GiemCKuala Lumpur, Malaysia",Friendly Restaurant ,"Bonzer Restaurant is always my choice for family gathering. My kids especially like the chicken chop. The service staff is very helpful. We usually pre-book because we come in group of 7 to 8 persons and they really handle our orders well. Kudos to the service team and, not to forget, the kitchen crew too!Show less",5.0,Reviewed 8 March 2018 ,Bonzer Restaurant
"wuiyankayMiri, Malaysia",👍🏽,"Who would have expected value set lunch at RM9.90 per main course offered at a restaurant with beautiful set-up like theirs. Serving both western and local dishes to cater to the local needs, I like the thoughtfulness they put in when designing the menu. And of course, the taste of the food (I personally like the pasta lemak and ayam panggang perchik) and the service of the team deserve a pat on the back!Show less",5.0,Reviewed 8 March 2018 ,Bonzer Restaurant
"missxuelavindaSingapore, Singapore",Tea time & food with love ,Loves the food here! Appetizing! Credit to the chef! Suggest this place to those who want to celebrate their special occasions. Friendly workers. Clean& aromatic washroom too Show less,5.0,Reviewed 4 March 2018 ,Bonzer Restaurant
James T,Good set lunch and dinner,Saw the white board outside the restaurant. Set lunch at RM$9.90 with an option to add on at $4.50And dinner set at RM$15.00.Had the Chicken chop for lunch. Pretty impressive and well managed restaurant.The ambiance was good. Food was of high quality and tasty.I am not the guest of the hotel there. But felt well taken care during my dining period.Would want to try their lamb cutlet when I have time in the evening. Show less,5.0,Reviewed 23 February 2018 ,Bonzer Restaurant
uuleong,Staff Pre Christmas Gathering ,"Memorable experience, food was good, staff were attentive. Will definitely have another gathering there sometime in the future.",5.0,Reviewed 30 January 2018 ,Bonzer Restaurant
Cowsie,Killing time in Miri,"Great we bar ,are here nearly every day .Great selection of food and staff very nice.
Mary served us most days and is lovely.
This place is guaranteed good food and cold beer.
I will be back 😎🙏",5.0,Reviewed 14 November 2020 ,Ming Cafe
nashaabbie,good service,"friendly staff n good service..keep it up..nice food n clean..near hotel's or in room..
nice invironment..love their music...",5.0,Reviewed 26 September 2020 ,Ming Cafe
domdew,Great service!,Our waiter was great and very flexible with our order. He was helpful and took time to give us the right suggestions for our meal. Nice place for a drink!,5.0,Reviewed 25 July 2020 ,Ming Cafe
Kamal4,Waitress took my drink without asking,I asked for the bill but the waitress just took my drink even it’s just a bit left without asking.. not very good service for that..,2.0,Reviewed 18 July 2020 ,Ming Cafe
"OSWALDHIIKuching, Malaysia","Ming Cafe, Miri","The fusion of cafe,bar and bistro in one roof. Located at city centre, Miri near Merbau Road which is an strategic and convenient place. Visitors who come over, normally choose to taste special imported beers .Gathering with long periods invisible friends from around the world here.Show less",3.0,Reviewed 10 March 2020 ,Ming Cafe
jokl78,Beer and food,They served good food here. Plenty of choice in terms of food and also beer. Draught beer is fresh and variety of bottle beer to choose from. Price is very reasonable,4.0,Reviewed 10 March 2020 ,Ming Cafe
sujitc997,Variety of Food and Beverages (Non-Halal). Value for money,Lot of variety of F&B which is attractive for a big group of different culture both eastern and western. Open till late night compare to other restaurants in Miri.,4.0,Reviewed 6 March 2020 ,Ming Cafe
"shaungregory84Miri, Malaysia",Something for almost everybody...almost,"its one of the ""go to"" places for a few drinks and a rowdier weekend. An open bar but it has something for almost everyone..depends on what time you are there. Happy hour starts early before knockoff work time but drinks promos are always around till later in the evening. Kitchen starts early too for pub food, local food and also fusion-ish food. As it gets late, especially over weekends, it gets livelier, a little bit louder and merrier. If you are out for a good night of music, drinks and mingle, head in the bar and you will make friends and conversation. If it gets too rowdy and crowded, stay outside, let open air cool you while you sip away. Be aware, non kosher, non halal, but have vegetarian options.Show less",4.0,Reviewed 6 March 2020 ,Ming Cafe
simonbjn72,Awesome hangout place ,This place started loud and crowded about more than years till now. A place where after you went surely will come back for more.,4.0,Reviewed 6 March 2020 ,Ming Cafe
Shineperumbel,Perfect ambience for a weekend hangout,"From my personal experience, Ming cafe can be stated as a benchmark of a happening city.With all the varieties of drinks for a weekend party, friends reunion or family hangout, this restaurent is a must visit place in Miri.For expats in Brunei, a visit to Ming Cafe will surely make feel that it's truly worth spending your leisure time with friends.Show less",4.0,Reviewed 5 January 2020 ,Ming Cafe
stanthenomad,Pretty good,"Two visits. Good service, price, food and wine list. Mix of western and Asian food gives options and is reasonably priced.",5.0,Reviewed 17 July 2019 ,Ming Cafe
"rizm2018London, United Kingdom",A Fun Place,"Mings Cafe is one of those place that always has a great atmosphere, along with great food and great prices.Does get very busy in the evening so sometime hard to get a seat. If your in Miri, definitely a place to visit but get there early!Show less",4.0,Reviewed 14 July 2019 ,Ming Cafe
JOYKITTEN89,AFTER WORK CHILL 🍷,"Nice local scene, they have a very wide variety of stirfry and western bites. The food was a bit hard but flavour was good. The fried noodles were yummy. Chianti was good. We had a few beers too.Music is great! Very lively place to chill and just relax. Will be back. Staff were prompt. Show less",5.0,Reviewed 10 July 2019 ,Ming Cafe
Tracey and Mart... B,Great service from Mary,"We visited here 2 nights in a row and had great food and service. Big shout out to Mary who looked after us with great service and smiles both nights, she is amazing!!!",5.0,Reviewed 25 June 2019 ,Ming Cafe
JGST2020,Food Tester,"Best Seafood in Miri. Price is higher but food is GOOD. Barbecus and steam Fish can give you a good appetise. Drunken Prawn is Tasty GOOD but value for money to try.  Many other food like cutter fish barbecus, vegetable.",5.0,Reviewed 5 June 2019 ,Ming Cafe
"BushymartinKuala Lumpur, Malaysia",Big selection of beer and wine ,I’ve been to Ming cafe a few times now.Always plenty of people there. They have a great selection of international beers and lots of wines. Huge menu of Asian and western foods and pizza.There is also a Dj inside a another bar inside the cafe. Gets quite busy around 10 pm.Great atmosphere Show less,5.0,Reviewed 8 May 2019 ,Ming Cafe
peonyhow,night spot,"We have been here and always happening and if you like night life, here is the busy street you can visit and taste the food here and happy hours.",5.0,Reviewed 14 April 2019 ,Ming Cafe
BBJassani,Excellent Restaurant ,Excellent Restaurant & Bar having a wide & extensive menu. Location is great - right in front of Mega Hotel in the city centre.,4.0,Reviewed 11 April 2019 ,Ming Cafe
"MyykpMiri, Malaysia",Poor service with over charge bills often,We have been here few times and almost every time they will over charge us with additional items we never consumed. So be careful and always run thru the bills especially the happy hour buy 3 free 1. We got charged for round that never ordered!Show less,2.0,Reviewed 20 March 2019 ,Ming Cafe
Sandra T,Fun resto with good food,"Always busy, friendly staff (thanks Mary for always taking good care of us), wide menu selection, tasty food, beer by the bucket.",4.0,Reviewed 6 March 2019 ,Ming Cafe
radziazie m,best place to party !,"awesome place to chill with ur friends. good foods, drinks and music. came here almost every week with friends and party all night long.",5.0,Reviewed 23 October 2018 ,Ming Cafe
Boonchong,Like the non-smoking room,"If you are a non-smoker like me, remember to ask for the non-smoking room, which is also air conditioned. Some of the local people dining there can be quite intimidating. As for food, the lelapan was quite good and local.",4.0,Reviewed 16 October 2018 ,Ming Cafe
Radiccio10,Noisy dive,Food is okay but really this is just a place to get pissed and sit at dirty tables near a dirty street. If you're drunk or nearly drunk you'll love it. Otherwise entirely missable.,2.0,Reviewed 14 October 2018 ,Ming Cafe
Connector823667,Overrated as the best in town,"Other than the reasonable alcohol price, food was poor...if not a drinker, then find other place for food.",2.0,Reviewed 12 October 2018 ,Ming Cafe
Marlene L,nice pork lalapan,i didn't expect to see Pork lalapan but it tasted so good! I came here few times and i enjoyed the Pork lalapan so much!,4.0,Reviewed 3 October 2018 ,Ming Cafe
835juliey,Eat drink music,A place to be in Miri at Ming cafe.   Nice food.  Nice crispy porky.   Drinks. Shots.  Crowd and music.  Always crowded,4.0,Reviewed 2 October 2018 ,Ming Cafe
AllaistairD,unlimited,"this is sure will be the best place for beer drinkers as they have plenty of options from beer, liquor, cocktails etc for you to choose. the food menu also amazing as you can choose from local to international cuisine & tapas to munch with the beers...yummy!Show less",4.0,Reviewed 18 September 2018 ,Ming Cafe
Dini Herningsih D,where is the nearest parking space?,Can someone please tell me where the nearest parking spaces are? I have heard so much about Ming Café. Unfortunately there just isn't any parking space nearby.... I wish I could have a chance to try this famous café.,3.0,Reviewed 1 September 2018 ,Ming Cafe
jokl78,Busy with crowds,This place is always busy with locals and expatriates as usual even though it's on a weekdays. Good selection of beers with very reasonable price.,4.0,Reviewed 29 August 2018 ,Ming Cafe
liaukc,Best place to get ice cold beer and music in the town,"the price of food and drinks is reasonable for a happening bistro, and variety choices of drinks! u can party all night long with good dj and music!",5.0,Reviewed 28 August 2018 ,Ming Cafe
"Dan SCairo, Egypt",Good food and atmosphere,Enjoyed a good meal and a few beers on a Tuesday evening. It was busy with good atmosphere. Mixture of locals and expats. Food is cheap and tasty and I always find the staff friendly enough and quick service. Had to wait a little while for the stingray but it was freshly cooked and very good. Not a place for families really although the menu is so extensive you could find something for the whole family. Show less,4.0,Reviewed 12 May 2018 ,Ming Cafe
paul1983amsterdam,Crowded and fine food,"Miri is not a crowded city. Here it is different.

Lot of people and the menu is big.
Friendly staff and the food is good",3.0,Reviewed 3 May 2018 ,Ming Cafe
Oren A,The place to be in Miri,"Really popular and busy bar/restaurant. Good happy hour deals on beer during most of the day. We tried the pizza and it was good by Asian standards. Staff is attentive and fast.
A great place for drinking in the late afternoon and evening.",5.0,Reviewed 1 May 2018 ,Ming Cafe
Alex P,Our favourite hangout in Miri!,"Good beer selection, excellent food and the boss is a fantastic hostess! The food has never failed. Pork burger, pork sausages, midin with rice wine, pork knuckles, bacon pizza, lamb skewers were all firm favourites.",5.0,Reviewed 30 April 2018 ,Ming Cafe
Sid_The_Gunner,Completely sozzled,Came along from recommendations of friends. Came for food and left hours later completely inebriated. Top night out. Food was good I think,4.0,Reviewed 30 April 2018 ,Ming Cafe
