Author,Title,Review,Rating,Dates,Restaurant
shidi789,Birthday Vacation,"sgt berpuas hati dgn service yg diberikan!!
thanks to madam Yan, Jeet n the team!!
recommended!!🥰🥰",5,Reviewed 6 April 2021 ,Cuisines Restaurant
SitiSharini,Good Food. Awesome View!,A rich variety of tasty foods with the combination of very nice ambiance an calm surroundings. Best dine in nature style!,5,Reviewed 5 April 2021 ,Cuisines Restaurant
marshalizadotcom,All Food are Delicious! ,"All Food are Delicious! The special dish, Sup Gear Box and Masak Lemak Itik Salai are the best dishes.",5,Reviewed 29 March 2021 ,Cuisines Restaurant
koboys88,Stay and candle light dinner,"At 1st enter the room, were shocking the room is super big nice. Air conditioning is great n cold.. have nescafe dolce also at bar..Then have candlelight dinner..food is great..the waiter name jeet is frindly n nice..Overall 5 star i give to this hotel..surrounding, food, staff are great!! Really recomended to who want to a great escape n holiday...Show less",5,Reviewed 27 March 2021 ,Cuisines Restaurant
GaoHanT,"Wonderful environment , very good service👍🏻","Have a very great experience there. The food, environment and service is so wonderful, especially Mr Jeet👍🏻
 Definitely will go again . Worth going ⭐️",5,Reviewed 23 March 2021 ,Cuisines Restaurant
Aarongooi,Fantastic romantic dinner,Love the service by the waiter jeet. Very personable young chap. Thank you for making our night special. And plus point on the food. The lamb was tender and flavoursome. Will come back soon for another meal.,5,Reviewed 18 March 2021 ,Cuisines Restaurant
Cubey994,Great food at the haven,"The restaurant is really good. Great ambiance, very good service and delicious food. Definitely recommended",5,Reviewed 7 March 2021 ,Cuisines Restaurant
Harmillaa,Vacation,"Good service by the waiters and receptionist 
Everything was under control and safety precautions were taken",5,Reviewed 1 March 2021 ,Cuisines Restaurant
nadzmer123,Best food and friendly restaurant manager,"Best food and friendly restaurant manager. Food is good, delicious, and big portion. Really recommended.",5,Reviewed 26 February 2021 ,Cuisines Restaurant
Jazznuri,Candle light dinner,Very nice and tasty..but the dessert was awesome😋😋 can gv 5star for the food..food are cooked well...and the appetizer aso nice ....if come haven resort please try the food ...its really nicee,5,Reviewed 25 February 2021 ,Cuisines Restaurant
rizal6660,Sumptuos and deicious food.,Sumptuos and deicious food. Staffs are friendly and 5 star service. Definitely will recommend this restaurant to my friends and colleagues.,5,Reviewed 25 February 2021 ,Cuisines Restaurant
"Darren_JellyGeorge Town, Malaysia",【The Heavenly Haven】,"With all the buzz around The Haven All Suite Resort, Ipoh, we had always longed for a staycation there. And we are so glad we visited, definitely worth the reviews.Check-in was a breeze. The front office was kind enough not only to give a free room upgrade but also to decorate the bed and cooperate with me to surprise my wife. The cozy and spacious suite consists of full kitchenette, sofa, dining area, bathtub (a little small). Shower pressure can be better though. Not to mention, it comes with a spectacular view overlooking the iconic limestone, forests and lakes. With the Haven's natural environment, nocturnal chorus of singing insects will get you into deep sleep and you will wake up to the sound of the birds chirping the next morning. The resort is well-equipped with facilities like round-lake jogging track, trademark swimming pool, gym, sport courts, pet's corner (well-taken care of) etc. It is just a pity the pool was closed due to MCO during our stay.There is another hidden gem here - the Cuisines Restaurant, which proudly proclaims the use of only the finest ingredients without artificial nonsense as the cornerstone. It is not an exaggeration, I will give them that. We came here for the sumptuous 6-course romantic candle light dinner by the lake, expecting small portions but boy, we were wrong. Not only generous in portion, the food was delicious. We also ordered a small Fresh Fruit Yee Sang and it was scrumptious, like no other we have tasted. Jeet, a young lad, was our waiter and we had excellent service. He was very friendly, prompt and always there to check on us. I can see that he was very conscientious about providing good service and customer satisfaction. In conclusion: wonderful dinner, great service, amazing ambiance and breathtaking view of the lake and mountains! In fact, the food was so good we went back for lunch the next day too. The breakfast included was nothing to shout about though. You should try their homemade The Haven Welcome Drink, it was so refreshing and rejuvenating.We will come back for sure, to have a meal and to take a dip in the infinity pool. Heavenly Haven!Show less",5,Reviewed 15 February 2021 ,Cuisines Restaurant
Shaluad86,Valentines,Satisfied with good services especially staff name Amelya. She did very good job on my room arrangement and entire staff,5,Reviewed 15 February 2021 ,Cuisines Restaurant
Kerrylpl,Stay at Haven,Excellent hospitality. Big service apartment.  Highly recommended for long stay. They serve great breakfast at Cuisines,5,Reviewed 18 January 2021 ,Cuisines Restaurant
Jameswing15,Recommended,"Amazing experience. Incredible food, presentation and service. The staff was out of this world. The name Jeet. An experience that everyone should experience.",5,Reviewed 7 January 2021 ,Cuisines Restaurant
sisgee,The Best Staycation For Families!,"Lots of fun stuff here for kids & families. Love the pool. Love the suite, the view from our balcony. And the food superb delicious!! Singapore Laksa must try! The Godfather and Tabbouleh also!!! Will repeat to stay here again!!!",5,Reviewed 4 January 2021 ,Cuisines Restaurant
"PushpaArrasuKuala Lumpur, Malaysia",Compliments,"My husband and I stayed at the Havens on 18Dec 2020 and were totally pleased with the service, especially front desk Nora and F&B Jeet. Apologise if I got the names wrongly but both of them were there throughout our three days. The both were responsive, pleasant, hardworking and always ready with a smile. The rest of the staff were also friendly, responsive and attentive during our stay.The room itself was well maintained and comfortable. The surrounding of the property was serene, quiet and we enjoyed the walk round the lake enjoying the fresh air. Will certainly recommend this quick getaway to my family and friends. Keep up the good work and importantly to ensure consistency of service delivery and up keeping of the property at all times. Thank youShow less",5,Reviewed 28 December 2020 ,Cuisines Restaurant
Sonusood29,Memorable,We did a couples dinner date and tried their 4 meal course. Stunning from the very beginning towards the end. Great service given by Jeet and the cocktail pairing is absolutely perfect!,5,Reviewed 28 December 2020 ,Cuisines Restaurant
Joey_law18,Excellent Holiday with Great Hospitality & Superb Environment !!!,"Our family truly has an excellent stay in this highly recommended holiday destination with superb environment, great hospitality & services rendered by the staff especially Miss Yanni. We will definitely be back here again. Wishing the staff & management of The Haven Resort Happy New Year!!!Show less",5,Reviewed 27 December 2020 ,Cuisines Restaurant
Praneetkumar4,My stay in haven,My trip was awesome! I felt completely safe with all of the precautions the resort put in place. We were well taken care of by employees that work at the Haven; unfortunately we couldn't use swimming pool because of covid. In restaurant waiter Jeet with entertaining staff makes us feel comfortable. All went above and beyond to make sure we had a great stay at the HavenShow less,5,Reviewed 20 December 2020 ,Cuisines Restaurant
sabby1910,Delicious Dinner With Great View 👌🏻,"Come here on a Wednesday evening for surprise dinner. We Tried their pasta and salad , and they were really great .😊  Awesome Service by Mr Jeet🙌🏻 Would definitely consider coming back 👍🏻",4,Reviewed 16 December 2020 ,Cuisines Restaurant
Prabu2108,"Great ambience, good food and excellent service.",Booked a table thru recommendation from ex staff Michael. No disappointment. From the moment we arrived till we finished it was great. Food was just awesome. Jeet just made our experience even better. Absolutely recommended.,5,Reviewed 23 November 2020 ,Cuisines Restaurant
tfnyfft,Perfect scenery with 280millions year old limestone cave view from balcony!,"Surrounded by nature and fresh air! Perfect getaway place from city life. Love the fresh air and the peaceful, quiet and windy nights. Food from the Cuisine Restaurant is amazing as well, very healthy and fresh. Comes in a variety options and are all without the use of msg! The concept is very sustainable and eco-friendly. Not forgetting the infinity pool facing the few hundreds million years old caves!Show less",5,Reviewed 16 November 2020 ,Cuisines Restaurant
"hudahalidTerengganu, Malaysia",Delicious Meal at 5 star restaurant.,"My family have tried 5 signatures menu recommended by the chef here. My son ate Haven Chicken Rice which is taste really nice and my other son tried new menu which is Grilled Ramesco Chicken. He just even request more sauce because the special sauce served here is so delicious. My husband ate Laksa Singapore which full of asian flavour. I ate Churrasco & Chimichurri Beef topping with pesto sauce. Complete our meal here Chimichurri Salad and Kiwi Berry Parfait. Since the restauran served this kind of menu all day long, i wish to repeat eat here again. Nice restaurant with nice view of forest n limestone hills.Show less",5,Reviewed 6 November 2020 ,Cuisines Restaurant
janesaini23,Great unexpected,"The unexpected stay to find while traveling with a friend. The room was quiet, clean and very comfortable. Very close to area attractions and restaurants. Staff name Jeet is courteous and most helpful. Will definitely stay again",5,Reviewed 5 November 2020 ,Cuisines Restaurant
thineshmohan,Honeymoon Vacation,The cuisine is excellent and fresh. The accommodation provided was good. Services given during our stay was great and satisfied. Staff Mr Jeet had given wonderful and good service in engaging with us.I would much highly recommend this place to others for a nature view and relaxation holiday.Show less,4,Reviewed 4 November 2020 ,Cuisines Restaurant
marshalizadotcom,All Food Delicious!  ,"All Food Delicious!

I have special dinner with 5 fine dining dishes and all are delicious. Love it because fresh and no MSG added.",5,Reviewed 4 November 2020 ,Cuisines Restaurant
naviin19,Wife's birthday celebration,Really nice place. The ambience and scenery are something to admire. The restaurant itself is nicely situated so you can enjoy the beautiful view. But the best part of this place is the service. The staff are friendly and so accomodating. Food is really good. We enjoyed it. Special mention to Nadhiya. She was really nice and made this evening fantastic. First time here and will definitely be backShow less,5,Reviewed 9 October 2020 ,Cuisines Restaurant
Jesonnn23,Excellent place with great service,"This is my first stay in The haven hotel ipoh. It is a great hotel for a short break from KL. I only stay for one night in this hotel, it is very comfortable that you will feel very relax and back to nature. I check in quite late around 7pm, the staff was very friendly, they shows their professional and excellent service to welcoming me.Besides that, A bell man escort to the room. He was a very friendly and helpful. many thanks to Mr Jeet. Restaurant waiter. He provide the excellent service that make me feel very comfortable and relax in the hotel. They provide the buffet style breakfast. They have seperate 3 section which is beverage, main course and bread section. The food was nice and the staff very friendly.Overall, is a excellent place to stay.Show less",5,Reviewed 9 October 2020 ,Cuisines Restaurant
harryolikuala lumpur,Two Thumbs Up,"We really enjoyed our meals here.Breakfast comes in a form of buffet and ala carte. Food selections was limited but it was enough to fill you up. Food was good especially it's bread. It's all made by the kitchen in-house....simply delicious.Lunch was very satisfying. Great food choice. Had salad for a start followed by mushroom soup with bread. Also had fish and chips, Singapore laksa and dessert.Fish and chips was scrumptious with seabass fish cooked to perfection. It's simply delicious and not dry and hard. Great job chef. Singapore laksa was really a surprise....not a Ipoh usual meal but they really cooked up some kick ass meal. I personally would recommend this. And of course all food is perfect and remember...NO MSG. Show less",5,Reviewed 8 October 2020 ,Cuisines Restaurant
lucasstark8648,Excellent food,All food is fresh and serve with hot. Staff is friendly and helpful. The staff and restaurant is hygiene.,5,Reviewed 6 October 2020 ,Cuisines Restaurant
angelyyy612,Nice breakfast and staff very friendly,"Thanks the staff keep on remind us for hygenic. Glove provide in restaurant. 
Breakfast delicious with good environment !",5,Reviewed 6 October 2020 ,Cuisines Restaurant
RashveenKaurr,Excellent Service and Food,"Came here for my partners birthday celebration. Made reservations for a romantic candle light dinner by the lake when a slight hiccup occured. Thankfully, we had Mr. Johari(F&B Assistant Manager) that handled the situation amazingly and gave me assuarance on a better night. And yes! It was a better night indeed. Mr. Johari and his staff, Mr. Jeet, served us that night and all expectations were meet when we speak about excellant service. The headchef came over to ask us how the food were and the person incharge(Ms.Yanni) greeted us as we left. Overrall the whole situation was turned over by Mr.Johari and his team throught thier phenomenal service provided.With that being said, we will definitelly be back again!Show less",5,Reviewed 5 October 2020 ,Cuisines Restaurant
"sallyraj05Kuala Lumpur, Malaysia",Heavenly Hide Away !,"An amazing hide away with the most beautiful views and surroundings just a mere 2 hour drive from KL.The Haven is aptly named after the beauty of the limestone covered hills - where you’ll find the tranquility and serenity of the place truly amazing!Special mention to Mr Peter, Amy, Joean and his team of dedicated staff who are so passionate and truly embraces the spirit of service par excellence !We had a wonderful family time and will be back very soon. Thank You.Show less",5,Reviewed 26 September 2020 ,Cuisines Restaurant
Ashlie43,Perfect place for break,"This is one of the spot that you should not miss when you are at Ipoh Perak, but you have to wake up early for breakfast :). The ambiance is like a food court with multiple selection of foods, from Chinese, Malay and Indian. Service was an excellent. Our waiter a gentleman was very professional and polite guy. Recommended for you to try not to miss this place, a must go place for break in Ipoh.Show less",5,Reviewed 23 September 2020 ,Cuisines Restaurant
Fearless552598,Hi Tea,Love the food and very tasty. Nice view.Love the scenery and offer the good services. We took a lot of pictures at outdoor.Recommended for gathering with friends or family. Location is ok not to far from Town.Show less,5,Reviewed 22 September 2020 ,Cuisines Restaurant
DiyanaAzlan,Homemade is the best 💞,"Memorable to spend my staycation here with nice view and lovely food. Plus  friendly staff.
In love with mutton cooked with homemade bread and jamms.
💕",5,Reviewed 20 September 2020 ,Cuisines Restaurant
"zed33Kuala Lumpur, Malaysia",Coffee House,"This is the coffee house attached to The Haven.Breakfast - varied selection but crowded by 9am on a weekday. As an alternative, they can offer you takeaway containers to have your breakfast in your apartment. The juice glasses need to be cleaned as they were visibly stained.Meals - waited 45min in the afternoon for a sandwich as did the other table next to me. During dinner, I was served a different variation of my order but it was not a big issueService - Wait staff throughout was excellent. Staff were well trained, polite and helpful. Easily the best thing about the restaurant.Show less",3,Reviewed 20 September 2020 ,Cuisines Restaurant
Saralisa53,Amazing place,Me and my wife very satisfied with the services provided by our professional waiter. All staffs were very friendly and helpful. Plenty of food choices without compromising the quality of food. Food were served hygienically by the staffs themselves. Great ambience too. I really had a great time and I would highly recommend this place to anyone who is looking for a get together with family and friends.Show less,5,Reviewed 20 September 2020 ,Cuisines Restaurant
EveLimAzlan,Love it,"Love it, lovely experience, would come again, recommended for others. Suitable for family and also for honeymooners.",5,Reviewed 19 September 2020 ,Cuisines Restaurant
AbdulRaimi,Exquisite food,The food is undoubtedly the best western food in Ipoh with the flavours and freshness the chef succeeded. Many thanks to Chef Shamsul for recommending us to try the breakfast buffet.,5,Reviewed 18 September 2020 ,Cuisines Restaurant
Jason2332,5 star dine in,"Had dinner with girl friends. Menu is perfect, something for everyone. Service was awesome and Jeet was very accommodating. Will be back definitely!",5,Reviewed 18 September 2020 ,Cuisines Restaurant
Plhooi,Superb view and amazing western food,"We were recommended by an owner to dine in here... The location and view, next to the green lush forest and lake was simply magnificent. We did not know Ipoh had such nice place, and the best part, they serve amazing western food!!!I believe many do not know about this place as it is a little bit far and deep inside Tambun... The last good western restaurant that we went to, Marianis at Greentown, were closed down last year. We order local and western dishes, and prefer the western dishes more...the prawn cocktail, mushroom soup and seabass fish are fresh and tasty. My daughter liked the crabmeat pasta, and hubby and me shared the pan-seared seabass and chicken rice...huge portion and good value, I must say...fruit juices are pure, with no sugar.The service from Jeet was good, prompt and fast...The restaurant also has middle eastern dishes, but we did not go for it... Perhaps on our next visit.Definately our choice to go to in Ipoh, when we crave for good western food!Show less",5,Reviewed 17 September 2020 ,Cuisines Restaurant
Marissa_Qaireen,Good service and good food!,"My family and I tried the merdeka afternoon tea at the restaurant, and were surprised by the friendly services from the staffs, Jeet and Rin. We were recommended the natural drink which all of us enjoyed it very much. We booked for only 1 tea set to try out, and decided to stay on for dinner. The head chef, Shamsul came out to introduce to us several of their signature dishes. We liked the Singapore Laksa, Fried Noodles and Fried Rice, as they use fresh prawns, not the frozen ones. Recommended highly for those looking for good food in Ipoh!Show less",5,Reviewed 15 September 2020 ,Cuisines Restaurant
Shennanigens,how was the pasta bad or good,"the food ok not the best but not the worst,for excample the pasta, the pasta sos was not flouaverfull and had alot of tomato but in the end you needed to add alot of cheese to make it ok byeShow less",2,Reviewed 12 September 2020 ,Cuisines Restaurant
Hkg_131,Good food!,"The best restaurant to dine and chill at Ipoh surrounded by the natural beauty! 
And always good to catch up with buddies at Haven!",5,Reviewed 12 September 2020 ,Cuisines Restaurant
Vinamin23,Anniversary dinner,"We saw this hotel throw Facebook and we did good selection, it's really beautiful place to spend some time after covid. We had anniversary package dinner, food was delicious and best part was great service, our waiter did good job. He was very friendly and helpful. We will surely recommend this placeShow less",5,Reviewed 11 September 2020 ,Cuisines Restaurant
AziziI11,Hi-tea @ Haven,"Nice ambiance, beautiful view, good food, warm hospitality. Thank you to the cafe staff, Rin for helping us to set-up the deco for a birthday’s gathering. Will come again next time",5,Reviewed 6 September 2020 ,Cuisines Restaurant
FarAway569873,Lovely Bbq buffet,Had the bbq buffet tonight. Love the selection on offer. The staff are friendly and helpful. Would definitely come back again.,5,Reviewed 5 September 2020 ,Cuisines Restaurant
"Veren RIpoh, Malaysia",A Big No,"Where do I start, all of us were excited to try out Cuisines as its rated no.1 on tripadvisor with amazing comments. Firstly, the ambience of the restaurant is basic to an extend of dullness. The aircond was leaking water onto our chair and table, the management might want to check on the cleanliness of the airconds which might be causing the leaking. The staff were pleasant and attentive, the only positive about this place. We ordered Tabbouleh Salad where no couscous was added in. Crab meat pasta had no salt in it, I guess the Chef did not season it. The NZ lamb rack was average in taste and chicken dishes, the meat was dry and hard. Only edible dish was the Singapore Laksa. I don’t think we will be returning or recommending this place anytime soon.Show less",2,Reviewed 4 September 2020 ,Cuisines Restaurant
Daniel A,Nice ala carte menu,"Enjoying my holiday during a weekday... We had a few meals in the restaurant. Love to have Asam laksa, spaghetti..
With nice view of the lake! fully recommended!",5,Reviewed 3 September 2020 ,Cuisines Restaurant
umarmukhtar23,Great anniversary trip!!!,"It was a great stay. Upgraded to a 3-bedroom suite room, which is great for families. We had a candlelight dinner with the lake and limestone view,it was a beautiful scenery at night. The food was delicious and great service from Mr. Jeet. Always checking with us on the food and very friendly. You can jog and walk around the lake. It has swimming pool for adult and kids. Very nice place to bring your family and friends for a vacation.Show less",5,Reviewed 27 August 2020 ,Cuisines Restaurant
Arasi123,The best ever vacation,Had a great stay in Haven and had meet such a kind and lovely staff JEET. Million thanks to JEET for making our girl birthday celebration more merrier. The cake is awesome and make with lots of love by Haven Chef. Thanks a millions to the chef as well.At whole we had the best days ahead.Will come again.Show less,5,Reviewed 24 August 2020 ,Cuisines Restaurant
alvinteotb,Delicious BBQ,Had a bbq buffet dinner with my family tonight. Love the setting and the bbq was delicious. The bbq lamb pieces was succulent and tender. Will be back for more.,5,Reviewed 22 August 2020 ,Cuisines Restaurant
"kamil08Langkawi, Malaysia",Family holiday,"2 hrs from KL.Wonderful resort for families. Amazing sea horse shaped pool overlooking a breathtaking scenery of the surrounding hills. The food is tasty and with a view. Special thanks to Jeet, vinayaga, arina, Michael,nadhiya and the rest of the crew here. Memorable trip. We will be back.Show less",5,Reviewed 20 August 2020 ,Cuisines Restaurant
822esteep,Dinner with friends,Good food. Good environment. Staff is very helpful and friendly .I feel so relax and happy to be here.,5,Reviewed 15 August 2020 ,Cuisines Restaurant
jollyk371,Great visit to Ipoh,Sitting outside and having the Seafood Barbecue Buffet was a great experience!  Great staff and delicious food!,5,Reviewed 10 August 2020 ,Cuisines Restaurant
ArvinWolf91,Romantic Dinner for Wife's Birthday,"We took the Malaysian cuisine package and wholesomely satisfied. The lakeside view is gorgeous. The desert was fantastic. The staff at The Haven were really friendly and engaging. They even setup the table for us with petals of roses and candles to create a really warm mood. I requested certain details from Mr Michael and he definitely fulfilled them. Also, there was a great gesture by the staff when they gave us some gifts, a bouquet of flowers, and also a surprise carrot cake filled with nuts on the top for my wife. The staff definitely made her day. Would like to mention special thanks to the staff Mr Michael, Jeet, Rin and Vinayaga. Would certainly be back again. See you guys again soon ;)Show less",5,Reviewed 10 August 2020 ,Cuisines Restaurant
X2474UDmarkn,Great visit to Ipoh and Fantastic Place to Stay,"The Haven is a great place to stay if you want to explore Ipoh and the surroundings.The Haven has an amazing outlook and the staff are excellent. The rooms are suite style (at least the one we were in was) and has everything you’d want. Beds are large and very comfortable, amenities are good and place is very clean.Food was very good as well.Thoroughly enjoyed our stay and thanks to everyone at The Haven for making it very enjoyableShow less",5,Reviewed 4 August 2020 ,Cuisines Restaurant
malini307,Solo dinner,"I choose to stay at The Havens Hotel ...decided to take my dinner at their in house restaurant and morning breakfast too As you step your foot into the restaurant, you are welcomed by the magnificent urban setting and staff...The delicious main course, caring staff Dayana, I had very good evening because of the brilliant atmosphere and delicious food service but little improvement to be look in to breakfast menu the food quite taste less and not cooked in full(fried chicken)nasi lemak sambal as taste less hope the management will look in to itShow less",4,Reviewed 2 August 2020 ,Cuisines Restaurant
Virginie2888888,Nice family lunch,"We ordered 5 dishes and all was good. Beef was well cooked (to western standard, which is not easy locally when you ask rare). Kids portions were generous. Service very friendly.",5,Reviewed 2 August 2020 ,Cuisines Restaurant
Bewilderbeast_travel,Excellent service,"I'm not normally one to write a review but the service we had in Cuisines during our short stay there was excellent. We had three meals and were looked after each time by a charming young man named, Jeet. He was friendly, thoughtful, efficient and courteous. He went out his way to ensure that our allergy requirements were met each time. He was never without a smile and made us feel very welcome. The food was good too. The Haven drink, of mixed natural ingredients, is delicious.Show less",5,Reviewed 30 July 2020 ,Cuisines Restaurant
