Author,Title,Review,Rating,Dates,Restaurant
Andrew D,"Our first visit to Bistro a Table, PJ","Warning - this is an in-depth review of the food and ambience at one meal......This was our first visit to Bistro a Table, planned for some time after learning about Chef Isadora and her standard of excellence, and finally it happened. We do not eat meat, but there was still enough choice of intriguing looking dishes to tempt us. For starters we chose the smoky tomato soup (with potato cloud!) and the stuffed zucchini flowers, and they were both excellent, the soup especially so with its unique flavour and presentation. The mains chosen were the truffle risotto and grilled seabass, with a delicious artichoke salad and a simple green salad as side dishes. I say simple, but in fact it is quite difficult to actually get what should be a simple green salad with a proper dressing, generally they have a poor choice of salad leaves, and tomatoes and other vegetables added, and then little or no dressing (or something sweet...) which shows the chef has no real idea about what constitutes a green salad - or has handed it over to the kitchen junior to prepare...... all that is wanted is a variety of fresh young green salad leaves and a simple french dressing (not sweet!), and that makes a perfect green salad....and happily, finally, this is what we had at Bistro a Table. Most do not get this; Chef Isadora clearly does. I have rather focused on this simple dish, because it is so unusual to get it properly prepared, and demonstrates very effectively the quality, competence and attention to detail of this kitchen.The artichoke salad was recommended by the chef, and certainly did not disappoint; it was loaded with flavour and texture: mushrooms, artichoke (of course) and crunchy celery, in its own unique dressing, and we intend to recreate it at home if we can, it was so good.The grilled seabass is uncomplicated, and just needs to be cooked perfectly to be - well, perfect - and it was, delicious. Precisely judged cooking of fish is an art....I have saved the truffle risotto until last, because, my word, it was good! A wonderful rich, creamy concoction of perfectly cooked rice with an intense truffle component, bursting with complex flavours, and was probably the best risotto we can remember tasting. No more words needed...With great regret we concluded we had no room to do justice to the dessert menu, a huge disappointment, and if there is any criticism at all, it is that the dishes are a tad too generous.....you don't want to leave anything, but then you (we, anyway) have little room left for dessert....not recommended at all! Chef Isadora came to our table several times during the meal, which is in any case, made our visit a memorable experience, but finally wanted to know why we had not chosen a dessert(!) - on our next visit (and there most certainly be one) we intend to ensure room will be reserved for dessert(s).....Related to the meal, we had several glasses of wine (we prefer white), and the wine quality certainly enhanced our experience. Not forgetting the quiet competence of the service, which was everything you could hope for, this was made extra special with the Chef's visits to our table to discuss food (and desserts!).The restaurant itself is easy to find, and exhibits a delightful clean, understated excellence inside, with unusual lighting and an interesting variety of unique framed posters (I suspect selected by Chef Isadora herself - if you see them you will understand why I say this!). Also it needs to be said; most French restaurants (in France) have disposable paper table covers, which makes obvious sense for diners that love to eat - and we were very pleased to see this in Bistro a Table. It is perhaps a small matter, but simply adds to the whole experience, and makes you appreciate the professionalism of the Chef and her intention to provide a true french ambience in quiet PJ.Overall, the thing that most stands out is the quality of the ingredients - if these are not first class, nothing else can be. Happily the quality stood out in all respects, and this is a jewel of a restaurant to have in a quiet suburb, and within 10 minutes drive of our home too! As a final note, we had no problem to safely park nearby, in fact the whole commercial area is well organised for parking, considerably better than many places in KL.Show less",5,Reviewed 26 August 2019 ,Bistro a Table
hasimrozana,Excellent finding in the neighbourhood.,"Last Thursday 30.05.2019 was an excellent finding for my family. We was greatful for our decision to try at this restaurants. Delighted from our 1st step in. Cosy ambient, friendly staff and super satisfy on the food. Presentation and timing from starter till dessert was perfect. Excellent recommendation and explanations by Chef Isadora. We also learn something new in this business..I can imagine holding private function in the restaurant!! Most important, price was very reasonable. We was happy from start till end.. Will definitely will come back to try the other dishes in the menu..Show less",5,Reviewed 2 June 2019 ,Bistro a Table
"Khairun NKuala Lumpur, Malaysia",Hidden gem of french cuisine,"We booked via website and when we arrived found out we were the only patrons for lunch. Very quiet area which we appreciated. Service was very polished. Food was rich and definitely had the French character. We felt the price was very reasonable compared to restaurants in hotels especially in busy KLCC areas. All in all, we had a great experience and hope to come again.Show less",5,Reviewed 2 May 2019 ,Bistro a Table
Woeihern,"Romantic, cosy, personal",A great place in the neighborhood for some fine dining. Say hi to chef Isadora. Lots of regulars have turned into friends. Perhaps that's the secret sauce to its beautiful menu,5,Reviewed 24 March 2019 ,Bistro a Table
"blujasAmpang, Malaysia",Great creations French cuisine ,"Our 16th wedding anniversary was celebrated here. There are many good things about this place - the creativity in the foods, the tastiness, the very cosy design and the attentive service we received from Maitre’d Faisal was impeccable from reservation to the end of our dinner that night. We did have a great time! The only two constructive comments which I would put in here are 1. The pan fried sea bass’ skin was a tad soft and 2. The restaurant gave us a nice designed writing on our dessert “happy 16th anniversary”. However, the dessert wasn’t complimentary. In most of our anniversary years celebrated in other restaurants around the world, we tend to receive a nice surprise from the restaurants we celebrate it. In fact in some, we received complimentary champagne or desserts or sweets. Lastly, I find it odd that the chef came out to greet a table with many ladies celebrating their friend’s birthday, however she didn’t feel it important to come ask how we enjoyed ourselves that night. There was perhaps just three tables including ours that night. Show less",4,Reviewed 1 March 2019 ,Bistro a Table
Navin K,Romantic and quiet,"Celebrate my first anniversary here. The menu, service and the environment was unique and was very memorable.",5,Reviewed 18 February 2019 ,Bistro a Table
Raylim008,C'est Bon!,"Had a great gastronomic experience with Chef Isadora. Food was amazing, plating was creative and service was good. Great wine selections but be prepared to splurge if you're planning to have some. Would be great to have a few special cocktails based on menu themes? Overall, if you're looking for somewhere romantic with some private space, book early for the private couple table. Deco option recommended. We had a great time and definitely would be back again for their special themed degustation menus!Show less",5,Reviewed 17 February 2019 ,Bistro a Table
Ednaconda,Birthday celebration,"Celebrated my partner's birthday last night at Bistro à Table. It was our first time here and Chef Isadora made it memorable for us! Thanks Chef!! Hats off to the most down-to-earth chef ever! She's so hands-on! Also, kudos for their exceptional service. Very attentive staff. We enjoyed our food very much, it was a great experience for us and we'll definitely visit again! Much love. xShow less",5,Reviewed 16 January 2019 ,Bistro a Table
Lovetotravelpj,A fine dining experience,"This is a place for environment, services and reasonable price fine dining experience. It is good for some special occasion kind of dining experience.",4,Reviewed 17 September 2018 ,Bistro a Table
pohe226,French restaurant with great ambience,"This is a gem hidden in Seksyen 17 PJ. Best to reserve before you go because seatings are limited. I liked the fact that they have curtains to partition the tables, giving people more personal space. On the other hand, the downside is it becomes difficult to catch the waiter. Ordered the degustation menu. I loved the Entree but the mains was slightly disappointing because it was kind of plain when compared to the Entree. However, the dessert helped to end the dinner on a high note! Service was rather slow tonight but it was an enjoyable time that we had in the restaurant. Show less",5,Reviewed 4 September 2018 ,Bistro a Table
Swee Kee L,Good food and wine,Really enjoyed my first visit to a Table. Missus loves the food and wine on the eve of her birthday.,5,Reviewed 11 August 2018 ,Bistro a Table
Eric L,Romantic and Nice Restaurant,Bump into the restaurant without any planning initially. Just got attracted by the outlook. After trying the food and dessert it's really nice and the service from the restaurant crew was polite and friendly. Special credit to Faisal and Joe for the good and friendly service.Will definitely recommend to my friends and family! Show less,5,Reviewed 1 August 2018 ,Bistro a Table
HoC552,Romantic atmosphere,The food is awesome!Nice French dining & love the pavlova!! Great hospitality & service from Faisal & the team! 👍👍,5,Reviewed 1 August 2018 ,Bistro a Table
Desmond K,Dining,"The food was great and delicious. Tks Faisal , Raj N Joe for the serving. Friendly and smile all the way... Bravo!",5,Reviewed 25 July 2018 ,Bistro a Table
aimanh245,Hidden Gem In Petaling Jaya,Great introduction of the menu from thr Chef/Owner itself.Wonderful choices of entree’s which was a new experience for both of us and had with a great taste.The rosted quail stuffed with foie gras was excellent.have not had an experience eating like that before but it was good.Overall nice french cuisine setting for a private moment with ur loved ones and proper introduction of the food by the chef itself.5 stars!Show less,5,Reviewed 15 July 2018 ,Bistro a Table
Khalisah K,Awesome,"Had our anniversary dinner here with scallops ceviche for entree, NZ lamb with lamb trimmings for mains which tasted awesome. Loved how the owner took her time to explain the menu herself. Great ambience also. For Muslims, all meats are halal except for the wagyu & red wine beef. You have to also request for alcohol free dishes. I loved how the owner understood our needs as Muslims. Awesome pawsome.Show less",5,Reviewed 15 July 2018 ,Bistro a Table
StevenB5289,Lovely place for birthday dinner,"Food was tasty and beautifully garnished. Ambience was cosy and warm with soothing romantic french music in the background. The service is good and all are friendly. The chef even personally served us the birthday cake, which was very rich in chocolate....so full that we couldn’t finish and Chef helped us to take away home. We will come again for sure .....Show less",4,Reviewed 15 July 2018 ,Bistro a Table
WilliamChua,Fine dining at casual setting,Good experience. Service is attentive. I had vegetarian which is good. There`s the degustation menu as well as the ala carte menu which has a selection of vegetarian options. An excellent choice if you want a romantic dinner or some quiet time with loved ones.,4,Reviewed 10 July 2018 ,Bistro a Table
hooichie,Great place for dining ,"Great environment, served with flavoursome and delicious French cuisine. Definitely will revisit again ☺️",5,Reviewed 28 June 2018 ,Bistro a Table
DovenX,If you are serious about food. Go there if you appreciate an amazing tastebuds experience.,"For people with discerning palate. All the dishes are designed to bring out the flavors of the ingredients The zucchini flower with cheese was crispy from the outside, creamy from inside; overlay with tarty salsaThe signature egg was superb. Veal appetizer was wonderfully executed.Lamb was amazingly done, tender and If Pakistani mango is in season, definitely order the pavlova Honestly, wholesome food with a wonderful crew. You can tell the owner and chef is very particular and strive for perfection!Show less",5,Reviewed 26 June 2018 ,Bistro a Table
WuiGiapS,Very nice,Good tasty food with a nice environment. Some of the food is rather normal with the price but the taste was nice.,5,Reviewed 23 June 2018 ,Bistro a Table
Toksvig,Neighbourhood gem,"A rarity in Kuala Lumpur - a European restaurant, which is serious about produce and classical techniques. All at neighbourhood prices. The owner served our table in person, which was a wonderful touch - she's charming and knowledgeable about food and wine.The room is super cosy and tastefully decorated.Execution was excellent all around. My only niggle was the beef marrow risotto, which I found a touch too rich and cloying. Would have benefitted from an acidic element to cut the fattiness. Mango pavlova was mindblowing....To quote Arnie: ""I'll be back!""Show less",5,Reviewed 21 June 2018 ,Bistro a Table
carsam ckuala lumpur,Memorable Father's Day treat,"Had a lovely surprise when the last dish came with an inscription ""Happy Father's Day"" on the plate. We had lobster, white asparagus truffle,& mango pavlova which was very good.Excellent service & recommendation by Faisal, Raj & Joe.They also gave a Happy Father's Day complimentary drink. Check it out.Show less",5,Reviewed 17 June 2018 ,Bistro a Table
mishkie7,Fun experiential dessert! ,"Came for coffee and desserts. Had a lovely papaya pie and something called a mindscrew, which was a fun experiential dessert that turns sour into sweet.",4,Reviewed 5 May 2018 ,Bistro a Table
aquacic,beautifully presented desserts,"i had the thin crusted papaya pie and my friend was recommended the mindscrew dessert and wow ..it was delicious and definitely a fun experience.
place was cozy and super friendly chef and staff. highly recommended.",5,Reviewed 5 May 2018 ,Bistro a Table
jiachengl2018,Valentine’s Day dinner,"Environment is really good for the event. Mains were lamb and quail. The medium done lamb is really good, juicy and sweet.

Coffee might sound strange for dinner but the beans are good.",4,Reviewed 14 February 2018 ,Bistro a Table
"FredericBlancBordeaux Saint Clair, France",Honest Review .,"Produce were source well ! Some of their produce such as proteins could be seen very fresh . But cuisine here lack identity and confidence . Food were fine ! But for high prices , it should set this bistro apart from the rest. Interior looks beautiful. Show less",3,Reviewed 17 January 2018 ,Bistro a Table
Patch S,Interesting french local food,"creative french food with a local twist. ;) Recommend the mac and cheese, tiramissu and claim pasta.",4,Reviewed 31 December 2017 ,Bistro a Table
"Sim Eng NKuala Lumpur, Malaysia",Birthday treat,"Since our last visit more than a year ago, we were curious as to what the ever inventive Chef Isadora has been concocting. Apart from the usual suspects, there are a few new dishes added to the menu, one of which was Sabah rock lobster cappellini, which didn't disappoint. If you live around PJ and would like to enjoy fine - dining without the fuss, take a chance at Isadora's Bistro á Table. She may just surprise you with a few twists to familiar favourites. Show less",4,Reviewed 29 December 2017 ,Bistro a Table
aishahi2015,Birthday Dinner with Besties,"Excellent food & fresh refined flavours! Unpretentious setting..definitely a hidden gem.
Looking forward to more memorable visits..",5,Reviewed 23 December 2017 ,Bistro a Table
Antoine KPort Louis,Dinner @Bistro a Table,"Tuesday evening. Only 2 table occupied. Starters n desserts were very good n inventive. Main course was rather average for what I expected to be a very good restaurant, having ranked in top 20 restaurants of KL as per CNN Traveller.Service was average taking into account that only 2 out of about 15 tables were occupied at the time. Wine list was limited. I had a bottle of Chardonnay which was reasonably priced n good quality, the only Chardonnay on the menu.French/Fusion food, atmosphere is promising if more tables were to be occupied.Might give it another try at the weekend when it is likely to be more busy.The sister restaurant in downtown KL look more hip!Show less",3,Reviewed 1 November 2017 ,Bistro a Table
KerryGoldQatar,Excellent French restaurant,"While a little off the beaten track, this is an excellent find for anyone who loves French food. We look forward to returning soon!",5,Reviewed 17 October 2017 ,Bistro a Table
ChristopheKL,Pleasant evening,Interesting dishes and a very nice surprise although we were already told many good words about this restaurant. Highly recommended.,5,Reviewed 28 May 2017 ,Bistro a Table
sharonsaw,Delightful degustation ,"I had a gorgeous degustation dinner at Bistro a Table. The flavours were varied and tasty, portions reasonable, and service attentive. Although chef Isadora was not in that evening, the food was still presented well and delicious.",4,Reviewed 12 May 2017 ,Bistro a Table
"330premkKuala Lumpur, Malaysia",A great accidental find !!,"Took my wife for an anniversary dinner to the neighbourhood. We actually wanted to dine at Soleil, not realising that Soleil had shifted to their new place. Decided to give Bistro a Table a try . We were initially apprehensive as the restaurant was empty. We shouldn't have worried as this is a very good restaurant ! we tried the deluxe degustation menu, and it was excellent. The portions were just the right size. The starter which was the coddled egg with truffle with the asparagus was exquisite. The pasta was very very good...Their wine was also very good. The service was exceptional too...This restaurant is a wow for me....Show less",5,Reviewed 17 November 2016 ,Bistro a Table
"jermpinsKuala Lumpur, Malaysia","Good food, and service; but small serving portion","I had the deluxe degustation menu. Food was decent but not WOW. Food serving portion is on the small side. First course: coddled egg with truffle, served with asparagus - decent. Second course: ricotta cheese wanton served in beef consomme - really good! The beef consomme was perfectly flavoured, and worked really well with the ricotta cheese filling. Third course: kobe beef tartare, served with endive and toasted hazelnut - really good, the beef worked especially well with the toasted hazelnut.Fourth course: rabbit sausage, served with braised leak - portion was too small for a main. Not the best rabbit dish I had. The braised leak however was perfectly done and seasoned. Dessert: caramelised banana bavarois, served with dulce de leche ice cream - nothing special.The service, on the other hand, was exceptionally good. Show less",3,Reviewed 16 September 2016 ,Bistro a Table
Mariza A,A Gem! What A Treasure!,"This place has better food and service than many fine dining places in KL-PJ. This is no mean feat considering that there are many really excellent French restaurants around. The ambience is very relaxed and casual. And I had a fabulous meal and a fantastic time without being surrounded by pretentious, self-conscious diners! It was such a treat to be able to enjoy a beautifully crafted meal in such a relaxed atmosphere!And the food really is divine!The food and the service are well worth the visit! Highly highly recommended!Show less",5,Reviewed 8 August 2016 ,Bistro a Table
"sunnyseow38Venthone, Switzerland","Beautifully presented food, excellent service","Was looking for a nice restaurant to celebrate Mother's Day/ Mum's birthday and chanced upon this restaurant when searching for 'best restaurants on Google'. It certainly did not disappoint. The welcome began when Carol, the maitre'd returned my call to confirm my reservation. Professional, polite and clear, it made me look forward to the dinner already.Our arrival was delayed by a heavy rain, but the restaurant was understanding and kept our table. The menu was short, but was interesting. We chose the degustation menu which was reasonably priced and enjoyed our food thoroughly, discussing about the flavours and the concept behind the food - great for dinner conversation!I would consider that service was a good reflection of the quality the restaurant hope to reflects. It is clear that the staff were well trained in service sequence, and Carol was there to ensure that everything is ok - making us feel very well looked after. Overall, rated 5 stars for the quality of food and service, however, I would consider this more of a special occasion restaurant, rather than a restaurant I would come back again on a regular basis because of the limited menu and the price.Show less",5,Reviewed 29 May 2016 ,Bistro a Table
"SphingxKuala Lumpur, Malaysia","A lot of style, but very little substance. Left the place hungry.","Several people raved about this place. After going there, I do not understand why.The pros:The service from the waiter is some of the best I've ever encountered in a KL restaurant, even in some of the top hotels. It's friendly, attentive, non-snobbish. Downright fantastic.The cons:The food. Don't get me wrong. The food is not bad. It's not fantastic either, it's just kind of slightly above average with a lot of frills to shill it as something extraordinary. They have a very fancy menu with reams of superlative information describing the food. Did you know that you can make any food sound fancy by adding the place of origin before the item itself? For example (this is not the exact item on the menu, just a demonstration of the style): Pan-seared Hokkaido scallops in Irish cream sauce, or Australian fillet mignion, served with Chilean asparagus or Tuscan rabbit or something (yes that was sarcasm). All these only serve to make the food sound more impressive than it is. There is even this really expensive dessert called 'And Ode to Newton' which has its own special card describing how it's anti-gravity and avant garde and all that, but basically is a scoop of ice cream on a wafer of flavoured ice on a glass of ginger beer. All for the bargain price of RM 25+This would not be such a bad thing if the portions were so minuscule for how much they charge you (RM 50-80 for a main). You order saddle of rabbit and you get one tiny little piece barely bigger a 50 sen coin. The duck breast was supposedly served with mash but what you actually get is a little dollop that looks like it had been served with a teaspoon.I don't mind paying for quality, but when a place is hyped but turns out to be so much style, and so little substance, it's really underwhelming. And honestly, if you paid 1k for one meal for a party of 5, I would have expected everyone NOT to leave the place hungry. The only way I'd ever recommend this restaurant to anyone if they and their wallet want a bit of weight loss, and if you enjoy the ambience and the prestige of having that kind of money to burn, I suppose.Show less",3,Reviewed 7 December 2014 ,Bistro a Table
KLFOOD07,A great moment,It was difficult to get a table as they are always full but I must admit that it was worth waiting! Delicious and very special food. The service is great. Wonderful desserts and great wines and Armagnac!,5,Reviewed 22 September 2014 ,Bistro a Table
"LWilsonnKuala Lumpur, Malaysia",Left with the bitter taste!,"It was a beautiful cozy restaurant nestling in the quiet neighbourhood, the restaurant lighting is just nice, warm and welcoming, and the decor of the restaurant is simple, and great! They don't have a big menu but it's sufficient. Some might felt a lil pinch for the price of the food but I think it is reasonably priced for a French (fusion) Dining. Since the restaurant has less patrons for the night, our food is served quite fast.Some warm breads and butter were served soon after, and our appetiser was brought out almost instantly as just moment prior I spread the butter onto my bread. And like the other reviewer has mentioned, for a moment I thought it was an amuse bouche! Usually a fine dining restaurant will serve you chilled but spreadable butter but the butter they brought to our table is still hard and impossible to spread it onto the bread. Since our first course is served, we just put aside our 'amuse bouche' and start enjoying our meal. We have their signature coddled maple syrup egg with Fluer de Sel & crouton dust, and cream of cauliflower soup. Our first course are nicely presented and the food is good, but not great!As for the main, we have cannelloni of seared scallops & school prawns in lobster bisque and Indonesia black nut tapenade, and duck breast a l'orange with puy lentils & candied kumquats. As expected, the food presentation is good but the cannelloni is cold. The plate is still luke warm to the touch but the food is indeed cold. To our utterly dismay, the duck breast is a total let down! Despite having good and mixed reviews, I can't comment on others' plate but I can only reviewing what's on my plate. Having myself as a big fan of duck, I expect nothing less from a French fine dining restaurant. I expect my duck breast seared to perfection, with either a lil crispy skin on top or the fats has rendered, and meat is pink in the middle, and I thought that is the expectation from a great chef too! But what put in front of me is a huge disappointment, the duck skin is neither crispy nor cook perfectly. The fats are still stretchy & too chewy, indicating it's not rendered enough, thus leaving it to be extremely chewy. The meat doesn't cook proper and evenly, leaving some part of the meat still raw! We addressed the concern to the lady manager or perhaps the owner, and without even bringing back our food to the kitchen and informed the chef, she immediately defended herself saying their duck breast is cooked it that way! We leave with no option but to bite our teeth and continue to consume the 'cook' part and leaving the raw part aside. It's almost impossible to eat the chewy duck skin and what a big shame that we just can't finished the whole dish, leaving half of it go wasted!The lady come by and trying to check on us again. Without any shadow of doubts, we explained to her on our disappointment. She almost if not immediately starting to defend herself and arguing that she has check with the chef and the duck is cook to the perfection, without even bringing back our dish huh?! I wonder how true it is that the chef is well-informed! She continued to argue that the duck breast is cook without the crispy skin as per Chinese style roast duck and it's pink in the middle. We explained to her that we totally understand this is not a Chinese style roast duck and certainly did not expect the skin to be thin and crispy! We are dining in a French restaurant and we knew what we are in for, mind you! And I told her the duck meat is still raw in some part, and I'm using the word RAW, she keep arguing it is suppose to cook it that way and it's pink in the middle. Personally, I have dined in quite a numbers great restaurants and some are run by Michelin starred chefs all around the world but never had in my life, be served a raw duck breast! She continued to defend herself by mentioning none customers complaining about the way they cooked the duck... By the time, she has really gotten under my nerves and I just point to her directly the raw part with my fork and questioning her whether is that 'pink in the middle' which she keep mentioning? We can see she caught in surprised when I pointed exactly where the raw part is, and she remained silent for a second, before telling us, 'Yes, I have check with the chef and this is how it is cooked'. I knew our conversation will lead us to no where and I really got pissed off with her attitude! She left our table without even apologised, not to mention bringing us back another well-seared duck breast! And if this happened in overseas, they can even get sued for serving raw meat to the patrons whom may coming back later with some serious food-borne disease!I don't mean to sound rude but if this the way they are treating the customers, i believe the business won't go too far into the future! Pictures do tell thousands word, and if the duck skin can be stretched to that afar, please tell me it's has rendered enough and it's not chewy! And please tell me the meat is cook to perfection and pink in the MIDDLE! I expect nothing less for the food with the price they are charging, and definitely not with this kind of attitude! I'm trying to be polite here but if you are expecting good French food, beware that your food might come with an attitude as your sides! Put your money elsewhere, where you can enjoy real good French food, and with genuine great service!Show less",1,Reviewed 8 September 2014 ,Bistro a Table
beforeJune,Nice Environment,"Price are averagely for a French Fine Dine restaurant.
Foods are decent, just some description are too professional need staffs to explain.
Service is pretty friendly and helpful. Comfy place, especially the lighting is warm and not glare.",3,Reviewed 19 August 2014 ,Bistro a Table
"mesotheliumKuala Lumpur, Malaysia",Pushes the boundaries of KL dining,"Since opening Bistro a Table a little more than 3 years ago, chef and owner Isadora Chai has been a polarising figure to dining in the Klang Valley. Some can't get enough of her creative efforts in her kitchens, returning nearly every month to sample the newest menu. Others don't appreciate what is being done here and feel that the food is overpriced for an out of the way shoplot in a residential area.The cuisine here is generally described as strongly French influenced with Malaysian elements and with an eclectic ""Isadora"" touch. Nowhere is this more evident than her infamous weekly degustation nights which feature her most ""out there"" creations under an overriding theme. Some items remain on the menu most of the time -- the signature dessert ""Ode to Newton"", for instance, and the maple coddled egg appetiser. Other items are seasonal.Chef Isadora Chai's enthusiasm for her work is evident both in her cooking and the enthusiasm with which she talks to guests who are interested in knowing more about the food. She goes to great lengths to source the most appropriate ingredients for a dish, e.g. the finest truffles of the season, or the freshest fish she can find. This unrelenting pursuit for quality is reflected in the prices -- despite the ""bistro"" moniker, a meal here is not ""cheap"".One cautionary note here is that food here is not ""conservative"" so diners who come here expecting a classic French meal -- ris de veau aux champignons, tournedos Rossini, or maybe a vanilla creme brulee -- will be sorely disappointed. Examples of dishes in the past: hazelnut roti jala with a Valrhona creme anglaise, pan-seared Red Pearl fish with salted cod brandade & tobiko buerre blanc. There are also some drawbacks to this experimentation: it might seem at times that the food being presented is more ""experimental"" than it is ""good"". But this seems like a small price to pay for the chance that you will find yourself ""wowed"" by a taste combination that you never realised would work.Four stars -- this place is good and I return here time and again but there's ""something"" missing that would make it truly great.Show less",4,Reviewed 9 August 2014 ,Bistro a Table
"Travelicious_KKuala Lumpur, Malaysia",Worth the gamble,"It was my first time here and I took a gamble taking visiting colleagues from overseas for dinner, based on the reviews I read online, but it was worth it. Everyone enjoyed their meal and the presentation of each dish was fab! Very nicely done. If I had any feedback to give, it'll be that the food took a while to be prepared. The bottle of white wine we ordered wasn't chilled, so that's something that they can improve on. Otherwise, the hostess was very patient and kind enough to give us options and tweaked our meals to suit each individual's needs.Show less",4,Reviewed 14 April 2014 ,Bistro a Table
"GavinfernandoPetaling Jaya, Malaysia",Nothing to wow about and comes with slow service,Tortellini is bad. The taste of goat curd is too strong while the pumpkin is just too sweet. The pasta is too thick as well. Could not even finish it. Canelloni seafood is just so so.. The food name sounds good but does not taste as good as it's given name. Not a must visit place. Don't think will visit again. Show less,1,Reviewed 14 February 2014 ,Bistro a Table
