Author,Review,Rating,Restaurant,Location
Food Boss,"Bonzer is an Australian slang for excellent, and the food at Bonzer is indeed EXCELLENT! …MoreBonzer is an Australian slang for excellent, and the food at Bonzer is indeed EXCELLENT!The restaurant serves a mix of western and local dishes. The pasta dishes are very good and I would consider them as one of the best, if not the best, in Miri.The local dishes are very tasty especially the Nasi Lemak Burger. What a clever idea to serve the iconic Malaysian dish as a burger with the bun made out of rice. It reminds me of the MOS burger.The price is very reasonable as it includes the tax and service charge.Compliments to the chef and everyone at Bonzer for the amazing food experience. I will definitely come back for more.","Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Audrius Maciulis,"Although we came on CNY we were rushed out the restaurant. The food was alright, wasn't too pleased with the pumpkin bisque and a simple pork cutlet with pepper sauce. The restaurant is said to be Asian fusion however it appears to be mainly Western.","Rated 3.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Hayatiyani,"Nice experience for having lunch and chill here with your friends or family, i like the soothing environment at this restaurant ❤️The carbonara taste so amazing and the juices feel fresh too 👍🏻 …MoreNice experience for having lunch and chill here with your friends or family, i like the soothing environment at this restaurant ❤️The carbonara taste so amazing and the juices feel fresh too 👍🏻BUT, the grilled chicken chop taste a bit burnt, the portion is so big & suitable for 2 person5 stars for the services, restaurant environment & staff politeness","Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Dzalitzudin Dnv,"Very nice ambience,the food is sooo good. And best of all the service is very friendly and helpful. You feel so welcome and serene just being here.","Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Benjamin Yeo,"Generous portion. Worth the price. Great service and comfortable ambience. Menu variety is not much, just enough.","Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
dija riza,"Food is okay, a little bit on the pricey side. If you love belacan this is the place to be. The belacan taste is a little bit too strong for us","Rated 3.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Joo Chin She,Lovely ambience and good service.  Very good service but prices are high.  Food only OK.,"Rated 3.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
RyoniixProductions,Will come again. Professional staff and good food. Quite pricey but the portion makes up for it,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Falis,One of the classiest restaurant in miri! Do drop by and dine in! Food is superb and fresh! And very attentive FOH waitresses! Great customer service and great food! Will come back to enjoy the patronage!,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Rasyidi Ibrahim,Worth it every penny...      ,"Rated 4.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Griselda Adelia Jolly Clayton,Nice....Warm n cozy,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Wan Azri,"Very nice ambience and deco, the food was expectedly good, the portion was generous for the price. Tried the grilled sirloin, my advice would to try it with the add-on mushroom sauce, goes really well with the steak. Recommended for western foodies.","Rated 4.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Reduan Talip,"Excellent service. Clean, cool & exquisite environment. Nice western & local food.Food & beverage price : expensive.Parking space is very limited.","Rated 4.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
valerie joseph,"The carbonara pasta so delicious. Sorry cant finish it due to full stomach but surely i will here again. The environment suitable for family, friends gathering and couples. The staff very nice.","Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
melrance chris,"Good place to have breakfast, lunch and dinner with family and friend. Staff really friendly and helpful. Clean place.","Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Nabila Nadia Adnan,Very dissapointed with the service. I reached the restaurant at 2 pm and the waitress said to me that kitchen is closed.. she said kitchen closed at 2.30 but still cant take my order. At the front door stated restaurant closed at 3. Next …MoreVery dissapointed with the service. I reached the restaurant at 2 pm and the waitress said to me that kitchen is closed.. she said kitchen closed at 2.30 but still cant take my order. At the front door stated restaurant closed at 3. Next time please state restaurant close at 2pm. So dissapointed as i brought my whole family here thinking of treating them a nice lunch but was turned down by the waitress instead. Not coming back 👎🏻👎🏻👎🏻,"Rated 1.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Wahidi Nazri,Nice cosy place.. steak was ok..,"Rated 4.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Barry Hamsy,"I've been here few time for special occasion that I reserve and book . The price is reasonable and can be consider cheap for a restaurant, huge portion, easily fill your tummy till late evening if you your lunch here, Nice ambient. Friendly staff, thumbs up. Kudos to chef and kitchen staff!","Rated 4.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Gunalan B,"Nice place to dine with good friends. From mgr to server lovely. I would like thank may, receptionist jenny who arrange my room. The manager May amazing very helpful on our request and set up of table. Great job","Rated 4.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Pixie Rose YLEO (Jenna),I love their steak! Have it in medium rare,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Rozelleyn Bitlen,the cafe is nice and suitable for candle light dinner or family gathering just that the waitress there is not friendly at all except the manager. I think they should provide more training to their staffs so that the customer is happy to have their lunch or dinner there.,"Rated 1.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Fakhri Ahmad,It looks nice and probably the place you take someone to impress but the food was a big letdown. Ordered the ribeye steak and it was not up to par with the place nor price.,"Rated 2.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Chin Chee Jung,Excellent service.. good food.. romantic atmosphere..,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Malcolm Balla,"Very cozy little restaurant with a big character. The food is to die for and the staff were very professional and super duper friendly, thumbs up to them. Price of food are not so expensive and they do really cheap set lunches and dinner.","Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Cecilia Lau,"Located at the ground floor of Kingwood Hotel. Friendly staffs and cater to your needs. Although they have Caesar chicken salad wrap on their menu for RM 18, the Chef helped me changed into a salad plate and charge me RM 15 which is reasonable. Highly recommended during dinner( RM 15) or lunch set (RM 9.90) promotion.","Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Fatin Shaheera,The food here is decent and they always have lunch and dinner offers. Great place to hangout and have long chats with friends. Also loving the side street view that they have especially when it rains.,"Rated 4.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Richard Loat,"Great little hotel restaurant in this boutique Miri hotel. The menu is concise and the few things they do, they do pretty well. Enjoy this get away from the main drag in a modern looking restaurant. They accept credit cards which helps …MoreGreat little hotel restaurant in this boutique Miri hotel. The menu is concise and the few things they do, they do pretty well. Enjoy this get away from the main drag in a modern looking restaurant. They accept credit cards which helps since ATMs aren't always accepting of foreign debit cards.Try one of their local Malaysian dishes in order to get their unique blue-coloured rice! Ask them the secret to how they make it blue. It's a cool secret ingredient.","Rated 4.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Aki Manang,Love it. The food is delicious and healthy.,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Chee Xuan Huang,Great environment. Good food for a reasonable price. Staff is especially courteous and accommodating!Love their dinner combo.,"Rated 4.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Waqqas Hanafi,"Decent service and food. Seems like a nice place to relax, to get away from the heat, and have a bite to eat in a well air-conditioned hotel restaurant.","Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Ali Rahman Mahmud,"Cozy place for dinner, good ambience, clean & good food for quite reasonable & affordable price.","Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Ray Nakama,Delicious food.,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
dave kushairy,"Feel so comfortable , right on time , good hospitality ..and the food cooks very well 😘","Rated 4.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Clara Mutsakanyi,Great cozy environment..love love the food and the prices are reasonable! Good place for lunch with friends.,"Rated 4.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Melinda T,Service is slow with only 1 waiter in the restaurant. We were a table of 5 and everyone’s food came at different times. Food wasn’t great either.,"Rated 1.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Yohanese Awin,"good restaurant for those who love western food and reasonable price,,delisious food serving,open kitchen, friendly staff and helpfull....recomanded place for lunch and dinner...or any celebration as well...","Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Sean Ngu,The food is very delicious and healthy. The price also reasonable and highly recommended.,"Rated 4.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
bob zakaria,Clean and comfortable place. Food resonably priced. Within the city center. Cafe in King Wood Hotel.,"Rated 3.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Adira Afia,The food is very delicious and healthy. The price also reasonable and highly recommended.,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Enny Christina Abdullah,"Tried Oxtail Asam Pedas, came with a bowl full and with rice and some keropok and acar. SUPERB!","Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
chrisniaty manjulin,The food is very delicious and healthy. The price also reasonable and highly recommended.,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Mul Yani,Great ambience and great food. Price and portion was good also.,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
we schleep,Service is so nice im crying,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
奈冰Joseph,Nice taste and Service.,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Mohd Azwandy,Reasonable price for a good big portion.,"Rated 4.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
JULIA EBAU,Chef platter was superb! Their staff were friendly and very helpful..,"Rated 4.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
JOHNNY YEE KWANG YIEU,Good food and nice environment for couple dating or talking,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Norjiana Tambi,Food was delicious. Good for small family function,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Ati Daud,Cosy place & nice food,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
CT Kas Yusof,Very good,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Celeste Ting,"Good customer service, nice food :D","Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Mohamad Hassan Jara'ee,👍😊,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
ayyub job solomon akhlaken,Friendly staff..great food,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Jackson Lim,Nice environment and reasonable price of fooda,"Rated 4.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Chronic Schizophrenia,Wouod be amazing if they had turkey ham!,"Rated 3.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Vivian Tan,Food nice. Service excellent.,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Joel Lim,Reasonablely priced and taste was decent,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Imelz 90,Nice place for any celebrate,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Diana Alfred Ngelambong,Love the environment and of course the foods...,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Cik Pokok,Food nice .And the staff friendly 🤗😊,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Hatim Razak,"Food is so so, service is damn slow","Rated 3.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Irenaeus Vincent,Decent food,"Rated 3.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Club Cafe,Good food,"Rated 4.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Khuza RadZi,Love this place with amazing ambiences,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
L Sim,Good food,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Willing Travel SB,Food not as great as expected,"Rated 2.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Mark Clayton,Airways great service,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
win S. S,One of the best in Miri,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Christopher Imang,Nice place to eat,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Florence Brown,Service was great👌👍😊,"Rated 3.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Elvy Megong,Yummy,"Rated 4.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Jim,Good,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
chia chung fatt,"nice place to dine in,","Rated 4.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Jorni Jawi,The best food,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Jeremy Joshua Liew Teck Kwee,"Good service,","Rated 4.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
K.L C,Delicious food,"Rated 3.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
baikragu,Delicious delicious delicious,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
aria bulan,Good place,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Justin William,(Translated by Google) The white coffee cup is really small 🤣kaw2 ..(Original) …More(Translated by Google) The white coffee cup is really small 🤣kaw2 ..(Original)Gelas kupi owang putih sungguh kecik🤣kaw2..,"Rated 4.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Daniel Koch,"(Translated by Google) Extremely friendly service, good selection of food, a nice drinks menu and reasonable prices make the visit to the Bonzer a pleasant experience. …More(Translated by Google) Extremely friendly service, good selection of food, a nice drinks menu and reasonable prices make the visit to the Bonzer a pleasant experience.(Original)Außerordentlich freundlicher Service, gute Auswahl an Speisen, eine schöne Getränkekarte und angemessene Preise machen den Besuch des Bonzer zu einer angenehmen Erfahrung.","Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Said Omar Morshidi,,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Ika Golden,,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Patricia Niga,(Translated by Google) Okayy(Original)Okayy,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
novi knowles,,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Muhd Shukri Ibrahim,(Translated by Google) Let's eat ctok(Original)Jom makan ctok,"Rated 3.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Ooi Soon Ming,,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
ed paul,,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Marilyn Jining,,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
K J,,"Rated 5.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
SayRie ShahRen,,"Rated 4.0 out of 5,",Bonzer Restaurant_Kingwood Hotel,"574, Jalan Ross, Miri, Sarawak"
Bala Chander,"Zest being the main restaurant in Miri Marriot Resort & Spa is just the right choice for one to dine. They have the fusion of varieties, taste and generosity. I have tried almost all dishes since I stayed here for a long period of time …MoreZest being the main restaurant in Miri Marriot Resort & Spa is just the right choice for one to dine. They have the fusion of varieties, taste and generosity. I have tried almost all dishes since I stayed here for a long period of time during MCO and I just say the portion is way beyond one’s eating capacity and it’s tasty having the right flavours and proper presentations.","Rated 5.0 out of 5,",Zest Restaurant at Miri Marriott Resort & Spa,"Jln Temenggong Oyong Lawai Jau, Datuk Oyong Lawai, Miri, Sarawak"
Viren Mehta,"This is the main restaurant in Marriott Miri hotel. The food is excellent with lots of different varieties and with amazing service. Must try wood fired oven pizza. Also delicious lamb curry with roti chanai. All kinds of wine , beer, …MoreThis is the main restaurant in Marriott Miri hotel. The food is excellent with lots of different varieties and with amazing service. Must try wood fired oven pizza. Also delicious lamb curry with roti chanai. All kinds of wine , beer, liquor and cocktails served here. The atmosphere is very cozy. Outside seating, facing towards swimming pool is also available.","Rated 5.0 out of 5,",Zest Restaurant at Miri Marriott Resort & Spa,"Jln Temenggong Oyong Lawai Jau, Datuk Oyong Lawai, Miri, Sarawak"
Gunalan B,Beautiful restaurant. Great buffet selection for breakfast and weekend dinner. The amazing experiance all servers are polite and humble at all times during our interaction. Price are reasonable. …MoreBeautiful restaurant. Great buffet selection for breakfast and weekend dinner. The amazing experiance all servers are polite and humble at all times during our interaction. Price are reasonable.card discoint and,"Rated 5.0 out of 5,",Zest Restaurant at Miri Marriott Resort & Spa,"Jln Temenggong Oyong Lawai Jau, Datuk Oyong Lawai, Miri, Sarawak"
Javier Lim,"marriott breakfast restaurant, very good","Rated 5.0 out of 5,",Zest Restaurant at Miri Marriott Resort & Spa,"Jln Temenggong Oyong Lawai Jau, Datuk Oyong Lawai, Miri, Sarawak"
Dauk Ayok,,"Rated 5.0 out of 5,",Zest Restaurant at Miri Marriott Resort & Spa,"Jln Temenggong Oyong Lawai Jau, Datuk Oyong Lawai, Miri, Sarawak"
Fariz Aimanur,,"Rated 5.0 out of 5,",Zest Restaurant at Miri Marriott Resort & Spa,"Jln Temenggong Oyong Lawai Jau, Datuk Oyong Lawai, Miri, Sarawak"
atie m,,"Rated 5.0 out of 5,",Zest Restaurant at Miri Marriott Resort & Spa,"Jln Temenggong Oyong Lawai Jau, Datuk Oyong Lawai, Miri, Sarawak"
Yeap Wei Jian,Good spot to hang out with friends while having some drinks. Ordered some dishes to go with rice. Must try their pork knuckle. Big portion and good food to go with your beer.,"Rated 4.0 out of 5,",Ming Cafe,"Borneo, Miri, Sarawak"
Audrey Ngiaw,Nice and humble food. Friendly and warm ambience. Family and kids friendly kind of restaurants that served from Asian to western food with alcoholic beverages.,"Rated 4.0 out of 5,",Ming Cafe,"Borneo, Miri, Sarawak"
Adrian Pui,Nice place to Dining. Food is good. Only the Music is abit loud. Overall is good,"Rated 5.0 out of 5,",Ming Cafe,"Borneo, Miri, Sarawak"
Raf,"Nice atmosphere, nice music, food, large drink selection. Always busy. Friendly staff","Rated 4.0 out of 5,",Ming Cafe,"Borneo, Miri, Sarawak"
Joe Chew,"One of the best place in town to chill out.  Nice music, great food, and wide variety of alcohol drink.  Cocktail is not up to the par.  Can't reach the balance between alcohol and herbs or fruit.  Overall, an amazing place to be","Rated 4.0 out of 5,",Ming Cafe,"Borneo, Miri, Sarawak"
JOY KITTEN,"Nice local scene, they have a very wide variety of stirfry and western bites. The food was a bit hard but flavour was good. The fried noodles were yummy. Chianti was good. We had a few beers too. …MoreNice local scene, they have a very wide variety of stirfry and western bites. The food was a bit hard but flavour was good. The fried noodles were yummy. Chianti was good. We had a few beers too.Music is great! Very lively place to chill and just relax. Will be back. Staff were prompt.","Rated 5.0 out of 5,",Ming Cafe,"Borneo, Miri, Sarawak"
Veteran Observer,"The food and drinks were great. I was doubting my choice because it looks like a beer place but the food was great, better than some restaurants! Staff were polite and friendly. With outdoor and indoor seating with aircon. Buy 1 free 1 drinks, I came on a tuesday. Will return!","Rated 5.0 out of 5,",Ming Cafe,"Borneo, Miri, Sarawak"
Bern,"There is a big selection of evergreen Malaysian food and a fair selection of Western food too. You can get German sausages, fish and chips, chicken chop, steak, roast lamb shank, mee goreng, nasi pataya, kueh teou goreng and more. …MoreThere is a big selection of evergreen Malaysian food and a fair selection of Western food too. You can get German sausages, fish and chips, chicken chop, steak, roast lamb shank, mee goreng, nasi pataya, kueh teou goreng and more.For drinks, there are plenty of international beer, fruit juice, teh tarik, iced lemon tea and more. Bestvthing is there are good music too. They were playing 80's disco music when I was there.","Rated 5.0 out of 5,",Ming Cafe,"Borneo, Miri, Sarawak"
Tony Jeanes,Ate here a lot over the week. Good portions good choice and really good value. Great vibe it's very popular with locals and visiting foreigners but it's certainly not the expat hang out I was dreading. Good choice of drinks from cocktails to draft and bottled beers they too were reasonable in price. Definitely worth a visit.,"Rated 5.0 out of 5,",Ming Cafe,"Borneo, Miri, Sarawak"
